owner,cablesystem,region,SHAPE__Length,shortname,objectid,SHAPE__Area,status
,,East Coast,1017.81162037143,,1156,31420.760703005,
,,East Coast,916.730709254406,,1157,35001.950556215,
,,East Coast,879.141797750638,,1158,18380.92749469,
,,East Coast,954.136004845058,,1159,33469.621444815,
,,East Coast,810.938622279897,,1160,20073.833930905,
,,East Coast,1014.10097199517,,1161,31864.02306512,
,,East Coast,735.698503608337,,1162,16509.90333886,
,,West Coast,7970.89099242681,,1163,1365042.02980215,
,,West Coast,79.9468247511339,,1164,226.079354095,
,,West Coast,1486.05315581882,,1165,94054.72011427,
,,West Coast,1294.17221554567,,1166,72170.86621186,
,,West Coast,1317.96061750538,,1167,83355.38523675,
,,West Coast,1368.58430627033,,1168,109390.432364385,
,,West Coast,1018.90927408308,,1169,41930.644070265,
,,West Coast,1250.09591672577,,1170,67180.805662665,
,,West Coast,1415.10881077986,,1171,98740.203566575,
,,West Coast,1066.76010814619,,1172,38081.805435695,
,,West Coast,1288.28797837494,,1173,41332.831159625,
,,West Coast,1673.50010099435,,1174,87106.240986425,
,,West Coast,3270.89560631778,,1175,121339.957955675,
,,West Coast,1359.97268000435,,1176,105767.44960824,
,,West Coast,830.51706612091,,1177,19832.853216595,
,,East Coast,2787.87995911524,,1178,291910.77399694,
,,East Coast,3408.78470035536,,1179,414581.474536505,
,Hydrophones,East Coast,30173.2138120225,,1180,15222657.77185,
,,East Coast,4277.38671901986,,1181,446380.255912465,
,,Gulf of America,7638.38618721882,,1182,419112.16701384,
,,Gulf of America,8886.12058248144,,1183,1379397.00909025,
,,Gulf of America,6133.52165918708,,1184,842876.64520801,
,,East Coast,2618.53245798231,,1185,65838.46723084,
,,East Coast,1452.58766986712,,1186,70863.110400135,
,,East Coast,835.373484188373,,1187,29852.98070334,
,,East Coast,3078.38235061921,,1188,340579.077449625,
,,East Coast,40034.3946100157,,1189,4366723.8041439,
,,East Coast,1278.87793847561,,1190,43685.843819205,
,,East Coast,1061.05772905088,,1191,36090.19233741,
,,East Coast,2470.8198379647,,1192,134392.715934735,
,,East Coast,1072.21871028436,,1193,31337.70168868,
,,East Coast,991.844347258563,,1194,35226.2683659,
,,East Coast,3060.70626491707,,1195,89884.61322219,
,,East Coast,2951.75330632314,,1196,222230.304018825,
,,East Coast,891.377577042102,,1197,28602.29746207,
,,East Coast,828.076735356259,,1198,31054.9571378,
,,East Coast,1061.6648512975,,1199,35600.59496564,
,,East Coast,1284.50543565373,,1200,51675.53313229,
,,East Coast,3370.13184527007,,1201,139660.423359455,
,,West Coast,4123.32597766374,,1202,603121.352304115,
,,West Coast,2231.11177902096,,1203,152112.261545095,
,,West Coast,968.195527591101,,1204,32082.689264075,
,,West Coast,1263.0352034457,,1205,53942.10482976,
,,West Coast,1742.42014735382,,1206,44119.132170405,
,,West Coast,2690.11278869568,,1207,362029.538845295,
,,West Coast,1385.70074362729,,1208,49256.577668595,
,,East Coast,174936.819979478,,1209,42827855.2611284,
,,East Coast,2532.39168105439,,1210,126469.24597018,
,,East Coast,1851.05160414058,,1211,35922.142048605,
,,East Coast,4795.57258998334,,1212,735019.38416329,
,,East Coast,1841.67094528034,,1213,101835.10820664,
,,Gulf of America,8677.69173777197,,1214,289356.549581305,
,,Gulf of America,1453.44957407332,,1215,107770.60950588,
,,Gulf of America,10580.6218615449,,1216,1668887.87677848,
,,Gulf of America,855.257346696016,,1217,29795.178846605,
,,Gulf of America,1134.73235647185,,1218,59580.03907671,
,,Gulf of America,1773.73838571951,,1219,67213.71898891,
,,Gulf of America,923.40241558771,,1220,21688.51727062,
,,Gulf of America,1861.55515630497,,1221,173029.96715258,
,,Gulf of America,2720.33969668193,,1222,225645.665258365,
,,East Coast,1246.97168218858,,1223,76624.189932165,
,,East Coast,520.320797168355,,1224,16753.846760185,
,,East Coast,2174.00578086171,,1225,62319.188331445,
,,East Coast,654.912515464826,,1226,20420.18845618,
,,East Coast,2968.53157064268,,1227,290250.71569583,
,,East Coast,2725.19859109316,,1228,221541.71317902,
,,East Coast,952.487577788682,,1229,34820.81872596,
,,East Coast,1005.82547996993,,1230,33595.29746989,
,,East Coast,566.098247602087,,1231,8146.158192105,
,,East Coast,1582.84890205246,,1232,59663.28609891,
,,East Coast,928.336328888712,,1233,35169.258288335,
,,East Coast,338.819702648554,,1234,5019.949113475,
,,East Coast,2211.04613260215,,1235,175584.18171101,
,,East Coast,3134.04165536854,,1236,475846.347231675,
,,East Coast,963.520518849802,,1237,39538.395583275,
,,East Coast,1075.00816573106,,1238,45139.50240097,
,,East Coast,1769.48048707774,,1239,56638.227531795,
,,East Coast,668.695411767647,,1240,20096.82778652,
,,East Coast,816.499849511345,,1241,31446.81721881,
,,East Coast,1350.33676147154,,1242,37939.485264005,
,,East Coast,794.927254510774,,1243,20643.065231745,
,,West Coast,375.69562920993,,1244,4323.92950857,
,,West Coast,1609.19551407164,,1245,40991.663350575,
,,West Coast,530.141294119322,,1246,9837.845178025,
,,West Coast,1312.51865753255,,1247,40257.902379365,
,,West Coast,824.501315811023,,1248,19583.615073205,
,,West Coast,785.181901073037,,1249,11021.183177635,
,,West Coast,2473.41493834056,,1250,71856.51028168,
,,West Coast,2048.35857684445,,1251,87436.26833193,
,,East Coast,9158.6231134292,,1252,560895.317473925,
,,East Coast,2201.07370023498,,1253,233435.291954785,
,,East Coast,4261.86313277492,,1254,169612.892940625,
,,East Coast,99643.0548962226,,1255,69019509.4475754,
,,East Coast,2021.74156622519,,1256,136005.475220555,
,,Gulf of America,1403.68198306627,,1257,49610.84360314,
,,Gulf of America,9278.99378022151,,1258,826469.81157144,
,,Gulf of America,1394.21243030733,,1259,81011.927790545,
,,Gulf of America,1968.32428064715,,1260,188414.732377615,
,,Gulf of America,2169.91080369036,,1261,157839.45093637,
,,Gulf of America,4444.51929131641,,1262,307798.100514985,
,,Gulf of America,11927.5673421639,,1263,5985064.35437319,
,,Gulf of America,807.273482162425,,1264,23542.89557303,
,,Gulf of America,647.791856670996,,1265,18466.180182345,
,,East Coast,5220.43952814209,,1266,583930.777083585,
,,East Coast,1992.61348922657,,1267,83914.701678435,
,,East Coast,1034.16821360039,,1268,42717.26431304,
,,East Coast,819.099496079791,,1269,24474.198699175,
,,East Coast,1995.65374538206,,1270,79605.096765925,
,,East Coast,1248.92223155399,,1271,54374.47126051,
,,East Coast,1023.24001688733,,1272,42203.70354492,
,,East Coast,533.545642186199,,1273,17249.666728235,
,,East Coast,2988.47498904168,,1274,236948.281425655,
,,East Coast,4008.03704983737,,1275,533721.40888377,
,,East Coast,1008.08503230672,,1276,42393.74240476,
,,East Coast,1196.56858047645,,1277,55840.575477345,
,,East Coast,779.221457408813,,1278,22756.69461549,
,,East Coast,873.094126072157,,1279,16136.19000288,
,,East Coast,1945.40525294098,,1280,52884.347152015,
,,East Coast,504.398235288964,,1281,8628.19605748,
,,West Coast,826.34766793191,,1282,30726.02990711,
,,West Coast,1877.81342118082,,1283,124191.53055025,
,,West Coast,1142.23811442515,,1284,40625.199770365,
,,West Coast,1716.44680761102,,1285,58624.86760765,
,,West Coast,903.715959807524,,1286,46431.8719803,
Department of Defense,Fiber Optic Communcations Undersea System,West Coast,523672.862459123,FOCUS 1,1287,95587616.389081,In Service
,,West Coast,19204.6483212592,,1288,6699949.84301017,
,,West Coast,2423.60002388238,,1289,237898.731029565,
,,East Coast,61635.6164079988,,1290,64513639.6158981,
,,East Coast,938.521169692346,,1291,15887.19025233,
,,East Coast,3118.52999893282,,1292,455227.12607781,
,,East Coast,9454.87763418978,,1293,2125808.94532652,
,,East Coast,11033.5708534445,,1294,3492714.8980066,
,,Gulf of America,200.133075379062,,1295,1953.580300855,
,,Gulf of America,2849.77322476296,,1296,337078.53736669,
,,Gulf of America,811.97329329638,,1297,23716.929720125,
,,Gulf of America,2646.97059987951,,1298,231419.294474125,
,,Gulf of America,2270.44939625953,,1299,247963.114608795,
,,Gulf of America,1057.17108053414,,1300,67492.73948374,
,,Gulf of America,2309.94800045744,,1301,125968.26263597,
,,Gulf of America,1505.99142970999,,1302,72706.752898005,
,,Gulf of America,1296.89376124647,,1303,83353.3023008,
,,Gulf of America,260.835577813489,,1304,4387.68741521,
,,Gulf of America,1359.8960064053,,1305,65776.17688974,
,,Gulf of America,5193.61771994724,,1306,809578.822233545,
,,Gulf of America,677.276500912096,,1307,23868.303676335,
,,Gulf of America,1619.48340336339,,1308,72599.162455695,
,,Gulf of America,774.158080922069,,1309,27977.497378385,
,,Gulf of America,1565.97453861836,,1310,88637.916974935,
,,Gulf of America,4163.32171474249,,1311,544279.31364275,
,,Gulf of America,1600.17291370757,,1312,127858.62138128,
,,East Coast,985.195761769627,,1313,29604.08953623,
,,East Coast,7569.28815949682,,1314,604176.602814695,
,,East Coast,1214.45055141014,,1315,49233.82718887,
,,East Coast,996.238994695916,,1316,26573.222837395,
,,East Coast,1913.47754562995,,1317,32579.67915836,
,,East Coast,798.31681286616,,1318,10165.505276775,
,,East Coast,469.407374759948,,1319,9747.596913095,
,,East Coast,779.60986022676,,1320,15250.527288235,
,,East Coast,14350.5198459021,,1321,2609415.52386176,
,,East Coast,1212.80363012045,,1322,42354.19444255,
,,East Coast,2197.29394710399,,1323,222475.82774593,
,,East Coast,511.530465760807,,1324,12247.652115595,
,,East Coast,1556.83161971188,,1325,87093.08522694,
,,East Coast,1845.38897461246,,1326,111524.39815874,
,,West Coast,3326.5592934008,,1327,322589.634874725,
,,West Coast,777.906465741886,,1328,19267.67724199,
,,West Coast,2185.81119881769,,1329,255320.495126335,
,,West Coast,2488.36851809945,,1330,152793.11414217,
,,West Coast,2803.52581573763,,1331,376904.62447624,
,,West Coast,10911.1346049169,,1332,413839.590816975,
,,West Coast,1971.66617967987,,1333,171712.908758265,
,,Gulf of America,2736.53397501118,,1334,192586.162475905,
,,Gulf of America,2179.67339544698,,1335,190064.04618664,
,,Gulf of America,890.77062078181,,1336,30325.090293715,
,,Gulf of America,79.1400046132909,,1337,352.300358775,
,,Gulf of America,2396.50319199091,,1338,249076.936847045,
,,Gulf of America,2274.41157210019,,1339,128906.932765805,
,,Gulf of America,2861.48091587314,,1340,213673.26482169,
,,Gulf of America,1449.98548770969,,1341,47551.356882685,
,,Gulf of America,3352.71631359387,,1342,326950.16721051,
,,Gulf of America,2876.45757869767,,1343,383249.51889891,
,,Gulf of America,1800.17719718225,,1344,69047.34923938,
,,Gulf of America,724.478152949586,,1345,25085.525733085,
,,Gulf of America,2792.85895685491,,1346,295379.40758558,
,,Gulf of America,743.406793113797,,1347,29524.257843275,
,,Gulf of America,2360.86504200633,,1348,163594.88337579,
,,Gulf of America,1294.21792907414,,1349,83620.739704925,
,,Gulf of America,1210.61129920644,,1350,29778.345925535,
,,West Coast,2086.88551332038,,1351,157577.72361092,
,,West Coast,911.261802806461,,1352,49987.172007535,
,,West Coast,1917.97080037416,,1353,131092.084141695,
,,West Coast,1502.19399940353,,1354,107135.465880855,
,,West Coast,966.818811418749,,1355,40689.949534565,
,,West Coast,1367.1947790505,,1356,51391.81135323,
,,West Coast,1782.98747138127,,1357,114589.82732954,
,,West Coast,2799.24009675684,,1358,320691.172304145,
,,Gulf of America,2638.07869469415,,1359,67589.070734055,
,,Gulf of America,1749.29320373044,,1360,88704.976699905,
,,Gulf of America,8105.45484485085,,1361,509378.400217555,
,,Gulf of America,2066.61174125767,,1362,122795.68591662,
,,Gulf of America,5159.02904227404,,1363,405413.88809552,
,,Gulf of America,76.1843944052514,,1364,272.214617865,
,,Gulf of America,1979.07869336749,,1365,89412.46231641,
,,Gulf of America,2485.82386399769,,1366,181648.90978676,
,,Gulf of America,3017.01953903836,,1367,81762.35987339,
,,West Coast,490.450913919718,,1368,10987.90020153,
,,West Coast,279.917329822523,,1369,4554.73727491,
,,West Coast,580.61509532054,,1370,12537.105634125,
,,West Coast,263.815816971622,,1371,3251.193645095,
,,West Coast,1463.99789865923,,1372,87791.13135495,
,,West Coast,6375.81503666396,,1373,991586.942667935,
,,West Coast,1920.39897857806,,1374,135001.145427035,
,,West Coast,249.311340666991,,1375,1709.363624285,
,,West Coast,3485.19726958346,,1376,506634.47648467,
,,West Coast,2095.03839836683,,1377,75023.21911595,
,,West Coast,877.18865343256,,1378,31642.99775734,
,,West Coast,3270.31562885617,,1379,426772.774124835,
,,West Coast,122.729618006621,,1380,565.72844482,
,,Gulf of America,3929.57975615941,,1381,624029.54696089,
,,Gulf of America,4269.46525644734,,1382,541104.40405095,
,,Gulf of America,1439.88290063597,,1383,37057.12654141,
,,Gulf of America,1631.51524419344,,1384,64132.81593654,
,,West Coast,4734.57104307215,,1385,298413.113043175,
,,West Coast,215.61089089352,,1386,2519.642727235,
,,West Coast,705.489251768153,,1387,17571.21272517,
,,West Coast,6349.0593461273,,1388,800606.57505817,
,,West Coast,199.341406926903,,1389,2171.351959985,
,,West Coast,460.124194548726,,1390,8690.099940965,
,,West Coast,4595.66725904893,,1391,883721.237447515,
,,West Coast,745.268519418508,,1392,34879.30417652,
,,West Coast,3348.27452686569,,1393,175316.768884585,
,,West Coast,4517.23564491651,,1394,256458.423788335,
,,West Coast,237.299810750343,,1395,3378.13669905,
,,Gulf of America,5171.27482837278,,1396,704725.72447395,
,,Gulf of America,2332.46491056385,,1397,149501.77510769,
,,Gulf of America,1714.40909723366,,1398,38635.334105975,
,,Gulf of America,1148.87030500843,,1399,54303.91893063,
,,Gulf of America,10113.8952766869,,1400,1474234.14387845,
,,Gulf of America,479.42687696073,,1401,11018.45517634,
,,Gulf of America,459.903204953803,,1402,8257.34869373,
,,Gulf of America,1830.98014106017,,1403,163487.46554839,
,,Gulf of America,847.293600346368,,1404,26748.274771245,
,,Gulf of America,1595.77033899756,,1405,48335.61073711,
,,West Coast,1086.96191322631,,1406,37160.811219345,
,,West Coast,462.267971224436,,1407,12842.123637995,
,,West Coast,973.242226135263,,1408,29447.815240165,
,,West Coast,1091.50966919231,,1409,36703.97758755,
,,West Coast,1295.39297614807,,1410,57025.53846267,
,,West Coast,1274.2585946038,,1411,72519.39543291,
,,West Coast,1533.52405824934,,1412,101680.18752929,
,,West Coast,547.790868603665,,1413,15619.577514175,
,,West Coast,5670.69163652657,,1414,631784.674252265,
,,West Coast,2957.8823892968,,1415,421115.55289843,
,,Gulf of America,4641.64484992825,,1416,114641.7542493,
,,Gulf of America,2397.22158694494,,1417,269813.290565665,
,,Gulf of America,4411.18599976647,,1418,253250.799224545,
,,Gulf of America,836.500865829051,,1419,14050.231482495,
,,Gulf of America,4217.94906113213,,1420,577010.405220115,
,,Gulf of America,4443.33562832112,,1421,230741.95185242,
,,Gulf of America,894.150845438903,,1422,41309.06934272,
,,Gulf of America,845.702449233072,,1423,16732.502599475,
,,Pacific Northwest,33178.9653539966,,1424,8121713.73065931,
,,Gulf of America,1507.86150402056,,1425,87365.500518705,
,,West Coast,10881.6314662192,,1426,1597886.44235129,
,,West Coast,6237.24987773233,,1427,1190344.52668104,
,,West Coast,3477.59370010959,,1428,393535.348560985,
,,West Coast,3989.48599869904,,1429,633715.186653085,
,,West Coast,4316.70663768419,,1430,675137.520642765,
,,East Coast,1809.90385568002,,1431,103514.747697435,
,,East Coast,4918.9618026505,,1432,331403.536195225,
,,East Coast,1212.56665482402,,1433,70577.146326255,
,,East Coast,1195.06161896692,,1434,32571.698285785,
,,Gulf of America,2996.33405245324,,1435,78848.96719221,
,,Gulf of America,5827.89427327156,,1436,113493.880718675,
,,Gulf of America,572.901771071872,,1437,19814.57184026,
,,Gulf of America,1199.44967233284,,1438,19980.52967268,
,,Gulf of America,47533.0402275274,,1439,9178212.42345647,
,,Gulf of America,13323.1586121417,,1440,928326.13323593,
,,Gulf of America,1765.46585168755,,1441,91758.31056109,
,,Gulf of America,1628.84741821811,,1442,148500.059612965,
,,Gulf of America,888.236382730947,,1443,30694.31781778,
,,Gulf of America,2402.80985237098,,1444,115123.38185114,
,,Gulf of America,1492.62229354445,,1445,88263.225347585,
,Power Transmission Cable,Gulf of America,3828.64338500133,,1446,489104.99252955,
,,Gulf of America,1751.97367740648,,1447,142567.63453556,
,,Gulf of America,1532.4127307989,,1448,101086.71883503,
,,Gulf of America,345.215608591607,,1449,4330.527917795,
,,East Coast,9083.38178046333,,1450,1945301.40186713,
,,East Coast,1420.04605889049,,1451,67347.55536923,
,Northport-to-Norwalk XLPE,East Coast,43584.498135002,3 x 138 kV,1452,39438687.3535617,In Service
,,East Coast,2072.84390070977,,1453,101160.217983825,
,,East Coast,3304.06046448995,,1454,233094.330274395,
,,East Coast,127.314799622806,,1455,897.187229495,
,,East Coast,12491.8461343055,,1456,2522594.75703867,
,,East Coast,2906.87584324064,,1457,374064.163946205,
,,East Coast,54998.792493362,,1458,13998092.0103197,
,,East Coast,26934.7892017722,,1459,3666702.14400037,
,,East Coast,1360.66540231108,,1460,96206.312344535,
,,East Coast,338.522010583901,,1461,5752.423299885,
,,East Coast,1980.01396244302,,1462,179608.042451415,
,,East Coast,1403.19101498329,,1463,33034.598872555,
,,East Coast,3652.67239521931,,1464,309772.67630007,
,,East Coast,459.015623470831,,1465,12147.77760612,
,,Gulf of America,2271.86605799561,,1466,127387.19381456,
,,Gulf of America,2131.36519052728,,1467,142870.84442811,
,,Gulf of America,21273.9584435073,,1468,3608034.39071166,
,,West Coast,23290.1280905208,,1469,21336574.2407065,
,,West Coast,13278.9497422588,,1470,5319549.14229402,
,,West Coast,1084.20277373133,,1471,50317.140969145,
,,West Coast,4284.72969033522,,1472,383927.51343655,
,,West Coast,156.735610337943,,1473,1218.27747186,
,,West Coast,270.523573779551,,1474,2284.635839115,
,,East Coast,5337.09289586937,,1475,286173.06795977,
,,East Coast,2126.37500695328,,1476,152626.324839895,
,,East Coast,2165.57690715782,,1477,152745.389305305,
,,East Coast,93.3871497517081,,1478,399.07364148,
,,East Coast,1008.55095331498,,1479,52067.63035957,
,,East Coast,2037.76898991843,,1480,166612.2785079,
,,East Coast,2398.4588431757,,1481,174954.101833865,
,,East Coast,1596.89605972809,,1482,118357.505873285,
,Power Transmission Cable,East Coast,68.6603434777871,,1483,125.39542153,
,,East Coast,2516.56116645049,,1484,197153.337157005,
,,East Coast,693.338948719627,,1485,16555.321799335,
,,East Coast,948.043953577366,,1486,17263.341981065,
,,East Coast,996.816983711696,,1487,35496.58091382,
,,East Coast,1866.40231838951,,1488,125394.48832536,
,,East Coast,1873.15418366963,,1489,136687.29457424,
,,East Coast,18306.2457700209,,1490,2200249.55035884,
,,East Coast,318.952854453888,,1491,4096.536659835,
,,East Coast,1550.25364322657,,1492,32051.9958173,
,,West Coast,53.9462984495713,,1493,181.75161765,
,,West Coast,294.763170475833,,1494,4492.121073355,
,,West Coast,3953.31267918059,,1495,230595.42425086,
,,West Coast,3219.51176664565,,1496,188592.155751285,
,,West Coast,799.096062597139,,1497,23696.48772745,
,,West Coast,1260.59637739739,,1498,57622.333173115,
,,West Coast,1330.44144490039,,1499,69513.460132965,
,,West Coast,1823.51116593847,,1500,167668.91933477,
,,West Coast,4890.96818520993,,1501,790404.14804174,
,,West Coast,1219.34969349394,,1502,62966.41320266,
,,West Coast,9525.91529847902,,1503,1708063.38401877,
,,East Coast,4569.60040419817,,1504,369539.92326128,
,,East Coast,5062.02076862189,,1505,351841.921933335,
,,East Coast,5579.68011084101,,1506,412021.892364965,
,,East Coast,90358.4920646623,,1507,20626258.6742241,
,,East Coast,13697.2611309255,,1508,2089260.83669535,
,,East Coast,315.577116369881,,1509,4724.158547545,
,,East Coast,347.187801545824,,1510,5076.37417749,
,,East Coast,727.829797978922,,1511,13237.72960798,
,,East Coast,406.662455145262,,1512,6072.51050409,
,,East Coast,573.624046041362,,1513,8640.52110304,
,,East Coast,326.907569437079,,1514,4684.134810575,
,,West Coast,1951.11490183369,,1515,138639.89687131,
,,West Coast,39865.8980286585,,1516,16811258.2172462,
,,West Coast,31512.7881304224,,1517,5734756.04564561,
,,West Coast,1211.05686831824,,1518,64102.47383196,
,,West Coast,5026.02290854991,,1519,623168.90364837,
,,West Coast,12133.8831248171,,1520,3651696.66232206,
,,West Coast,3599.43247182782,,1521,517567.008027535,
,,West Coast,16819.3030229694,,1522,5217742.96110244,
,,West Coast,4933.52588936467,,1523,652452.25301449,
,,East Coast,3988.65159210627,,1524,422160.85566007,
,,East Coast,31207.1916785416,,1525,2997284.51751685,
,,East Coast,1909.81984461766,,1526,221419.76265904,
,,East Coast,1940.97047949881,,1527,153292.94127799,
,,East Coast,1210.81939463719,,1528,32965.51139972,
,,East Coast,1164.31441965797,,1529,54802.628885135,
,,East Coast,2605.76820455876,,1530,157345.88491023,
,,East Coast,122334.192953703,,1531,24455324.2990259,
,,East Coast,2306.95587507171,,1532,181414.743116885,
,,Gulf of America,2289.41167379563,,1533,126624.464309285,
,,Gulf of America,2136.49581622065,,1534,63072.896696065,
,,Gulf of America,9222.17797901306,,1535,1435039.51180989,
,,Gulf of America,1183.49627196232,,1536,54447.89020278,
,,Gulf of America,3874.53268978105,,1537,357531.71884686,
,,Gulf of America,1814.73277720211,,1538,166163.6070367,
,,Gulf of America,22113.9030718608,,1539,4277698.23222611,
,,Gulf of America,3138.91758288929,,1540,256455.16451645,
,,West Coast,4993.10183205388,,1541,192887.373448945,
,,West Coast,3037.06906506253,,1542,187501.856291855,
,,West Coast,1896.86399867086,,1543,175056.21544485,
,,West Coast,408.194894681756,,1544,5006.45248546,
,,West Coast,2016.68068635037,,1545,113837.80009653,
,,East Coast,2870.09217304803,,1546,205269.15540143,
,,East Coast,8551.62540144032,,1547,1367826.07961179,
,,East Coast,9242.85811954383,,1548,1642882.78708227,
,,East Coast,4271.95749873609,,1549,673387.28863219,
,,East Coast,5961.18942439749,,1550,976942.73819346,
,,East Coast,2417.47970389927,,1551,163202.589201535,
,,Gulf of America,2634.36484557529,,1552,263375.899159185,
,,Gulf of America,1791.31988666389,,1553,108808.228208685,
,,Gulf of America,3200.95330888937,,1554,116387.314696215,
,,Gulf of America,1341.00917956684,,1555,83430.778765155,
,,Gulf of America,2740.49867689539,,1556,188208.17273953,
,,Gulf of America,939.908723934266,,1557,28702.42707351,
,,Gulf of America,1659.09327742784,,1558,155317.54041744,
,,Gulf of America,1588.36898490948,,1559,43919.63290677,
,,Gulf of America,223.34003577233,,1560,2846.98005616,
,,Gulf of America,2087.80864964099,,1561,233148.56035773,
,,East Coast,19739.9501648502,,1562,3717024.4702367,
,,East Coast,2306.77324417598,,1563,218357.960405735,
,,West Coast,3229.43442683426,,1564,195599.75297898,
,,West Coast,12859.584273358,,1565,4370020.96289133,
,,West Coast,8972.32401429219,,1566,1634142.67383233,
,,West Coast,28717.0293115947,,1567,14054304.5207746,
,,West Coast,9816.18431193288,,1568,1921389.87119286,
,,West Coast,1714.37363153385,,1569,122635.412670565,
,,East Coast,3475.91549893393,,1570,539561.3303466,
,,East Coast,3029.8788324429,,1571,189450.462025155,
,,East Coast,8181.2708361829,,1572,1466805.39119527,
,,East Coast,7794.88558709467,,1573,475320.661006895,
,,East Coast,620.62511118242,,1574,24153.59286058,
,,East Coast,3707.44809903247,,1575,179913.35438751,
,,East Coast,5352.1231441235,,1576,708795.471106175,
,,East Coast,6048.67324322881,,1577,710104.573746155,
,,East Coast,983.286577160079,,1578,22823.3410794,
,,East Coast,12372.4938784453,,1579,1448301.73614352,
,,East Coast,2506.36457675301,,1580,290257.667037255,
,,East Coast,13438.3048037776,,1581,2864492.47014554,
,,East Coast,7133.95836004765,,1582,1048579.21474239,
,,East Coast,7113.34643188808,,1583,1080431.1723274,
,,East Coast,11782.9064540936,,1584,1847464.33438379,
,,East Coast,1794.37436497063,,1585,40716.76747684,
,,West Coast,7584.31731386745,,1586,2183624.33324331,
,,West Coast,10609.0081744833,,1587,2062736.42607264,
,,West Coast,16000.5418205908,,1588,4017158.40225284,
,,West Coast,21551.1366333698,,1589,6429342.11785174,
,,East Coast,8028.83090214175,,1590,363692.734089435,
,,East Coast,3581.70549022706,,1591,337956.24557522,
,,East Coast,3884.04822076217,,1592,348631.40894644,
,,East Coast,1491.19750579223,,1593,22084.123684205,
,,East Coast,16023.0998397642,,1594,2691975.09576523,
,,East Coast,7483.83746097557,,1595,1241103.61464082,
,,East Coast,33363.9488432834,,1596,5434965.62164432,
,,East Coast,2045.13465892517,,1597,85892.592759655,
,,East Coast,24630.0217519451,,1598,4666770.68048034,
,,East Coast,2129.72985221249,,1599,153629.264368805,
,,East Coast,2029.36170791567,,1600,212560.40610424,
,,West Coast,9196.91998390776,,1601,3090873.26137291,
,,West Coast,19388.5785144152,,1602,6431500.96549938,
,,West Coast,15124.5255716846,,1603,4137207.58052471,
,,West Coast,2412.50223131717,,1604,317541.85344949,
,,West Coast,5003.15144837055,,1605,814313.900400985,
,,West Coast,3523.94713551174,,1606,507711.3088692,
,,West Coast,6340.95689306369,,1607,764364.337401275,Abandoned
,,East Coast,4470.39338231723,,1608,467238.82695963,
,,East Coast,5375.34071230183,,1609,855717.111237465,
,,East Coast,3234.30045978353,,1610,435202.851262185,
,,East Coast,1370.3058618267,,1611,104425.853652135,
,,East Coast,1849.50117890787,,1612,184624.329487425,
,,East Coast,1558.57463265265,,1613,49779.75435532,
,,East Coast,1299.44263283396,,1614,31075.09865974,
,,East Coast,11955.6195591433,,1615,2369608.51267184,
,,East Coast,30786.5519131739,,1616,5276569.87332086,
,,East Coast,1343.36787934062,,1617,42071.60171093,
,,East Coast,4789.69050187482,,1618,397130.02317679,
,,East Coast,5626.4347600135,,1619,288611.16791825,
,,West Coast,8701.37459938018,,1620,1094360.82815658,
,,West Coast,4172.20242176005,,1621,949119.961770235,
,,West Coast,7012.71322875293,,1622,1385318.82249216,
,,West Coast,5944.9314462456,,1623,1177327.40715413,
,,West Coast,6260.76347500957,,1624,452861.542740525,
,,West Coast,14340.7330323064,,1625,2684937.65322332,
,,East Coast,3961.36393204192,,1626,388377.47776394,
,,East Coast,1727.57294525983,,1627,158317.517886645,
,,East Coast,1905.09807834311,,1628,199894.23318594,
,,East Coast,1037.82535884747,,1629,58514.88204283,
,,East Coast,3092.4173170071,,1630,324534.395543815,
,,East Coast,2713.77761606513,,1631,296760.810624275,
,,East Coast,1144.63100206971,,1632,71828.83246328,
,,East Coast,2070.11056583736,,1633,98933.289230785,
,,East Coast,1296.17813716315,,1634,69379.829550545,
,,East Coast,1674.07699602313,,1635,79567.162299955,
,,East Coast,493.359349824554,,1636,9720.385027675,
,,East Coast,1348.53210533869,,1637,76612.721702425,
,,East Coast,1260.65592118812,,1638,87457.55759465,
,,East Coast,4020.21219023007,,1639,277082.448337615,
,,East Coast,2675.69487056881,,1640,156050.74502853,
,,East Coast,1593.09123422792,,1641,104291.51765163,
,,East Coast,2560.58008319693,,1642,156973.576073865,
,,East Coast,1017.51726996859,,1643,30843.91862038,
,,East Coast,1774.28707716704,,1644,115043.04617539,
,,West Coast,8574.47523181343,,1645,1251505.26617088,
,,West Coast,437.035365410487,,1646,2562.521609805,Abandoned
,,West Coast,366.198667952062,,1647,3114.447061655,
,,West Coast,1929.62491945493,,1648,166118.47653082,
,,West Coast,888.794571625675,,1649,46172.893500715,
,,West Coast,1404.57248764766,,1650,105655.54666995,
,,West Coast,2675.91716867633,,1651,110162.80972693,
,,West Coast,1677.06937007229,,1652,174465.080753595,
,,West Coast,4020.07580292395,,1653,540252.01215226,
,,West Coast,3631.79577564188,,1654,266867.84608729,Abandoned
,,West Coast,2712.9219929174,,1655,374344.876407985,
,,West Coast,540.522927116152,,1656,12798.665390345,
,,West Coast,1922.47372589353,,1657,199366.13087413,
,,West Coast,2440.01365948229,,1658,274814.03506179,
,,West Coast,1364.52086657758,,1659,89310.09337674,
,,West Coast,4765.52186419661,,1660,397939.65789926,
,,West Coast,2379.46909581051,,1661,197459.51124379,
